reorder_point,order_quantity,avg_service_level_pct,avg_fill_rate_pct,avg_stockout_days,avg_total_cost_gbp,avg_holding_cost_gbp,avg_ordering_cost_gbp,avg_shortage_cost_gbp,avg_num_orders,feasible,verdict
500,500,34.28,41.3,59.14,57731.48,3643.84,1396.7,52690.94,13.97,False,needs improvement
500,750,45.96,52.5,48.64,51010.1,7091.46,1229.4,42689.24,12.29,False,needs improvement
500,1000,54.34,59.9,41.09,48220.54,11132.89,1075.7,36011.95,10.76,False,needs improvement
500,1250,60.06,64.8,35.95,47963.78,15449.71,945.3,31568.78,9.45,False,needs improvement
500,1500,64.23,68.6,32.2,49053.92,19994.21,842.4,28217.31,8.42,False,needs improvement
500,2000,70.28,73.9,26.75,53573.15,29452.85,697.1,23423.19,6.97,False,needs improvement
500,2500,74.41,77.6,23.02,60088.17,39331.39,599.8,20156.98,6.0,False,needs improvement
750,500,36.77,43.6,56.92,57096.89,5066.13,1377.7,50653.07,13.78,False,needs improvement
750,750,53.76,60.7,41.61,46026.11,9369.67,1374.6,35281.83,13.75,False,needs improvement
750,1000,63.41,69.3,32.93,42837.5,14064.4,1208.6,27564.5,12.09,False,needs improvement
750,1250,69.25,74.2,27.68,43067.89,18862.71,1053.0,23152.18,10.53,False,needs improvement
750,1500,73.28,77.6,24.05,44703.88,23693.98,930.5,20079.4,9.3,False,needs improvement
750,2000,78.44,82.0,19.41,50524.37,33639.97,752.4,16132.0,7.52,False,needs improvement
750,2500,81.69,84.7,16.48,58305.14,43914.38,623.5,13767.25,6.24,False,needs improvement
1000,500,39.18,45.9,54.74,57098.88,7153.45,1361.8,48583.64,13.62,False,needs improvement
1000,750,56.07,62.9,39.54,46156.5,11444.62,1360.8,33351.08,13.61,False,needs improvement
1000,1000,72.79,78.5,24.49,38834.93,18151.64,1341.0,19342.29,13.41,False,needs improvement
1000,1250,79.31,83.9,18.62,39530.85,23887.93,1168.5,14474.42,11.69,False,needs improvement
1000,1500,82.5,86.4,15.74,42207.48,28985.22,1014.4,12207.85,10.14,False,needs improvement
1000,2000,86.48,89.6,12.17,49389.16,39204.2,803.0,9381.97,8.03,False,needs improvement
1000,2500,88.77,91.3,10.11,57931.14,49435.78,674.1,7821.26,6.74,False,needs improvement
1250,500,41.71,48.1,52.46,57888.99,9951.27,1341.3,46596.42,13.41,False,needs improvement
1250,750,58.37,64.8,37.47,47214.72,14280.6,1341.3,31592.82,13.41,False,needs improvement
1250,1000,75.37,80.7,22.16,40062.57,21370.23,1333.5,17358.84,13.34,False,needs improvement
1250,1250,88.34,91.7,10.49,39828.25,31086.54,1258.7,7483.01,12.59,False,needs improvement
1250,1500,91.3,94.0,7.83,43586.65,37066.46,1088.2,5431.99,10.88,False,needs improvement
1250,2000,93.31,95.3,6.02,52528.55,47481.2,839.7,4207.65,8.4,False,needs improvement
1250,2500,94.69,96.3,4.79,61476.11,57450.77,697.4,3327.94,6.97,False,needs improvement
1500,500,44.22,50.4,50.2,59362.06,13494.66,1324.1,44543.29,13.24,False,needs improvement
1500,750,60.61,66.8,35.45,49088.47,17970.99,1323.5,29793.98,13.23,False,needs improvement
1500,1000,77.77,82.6,20.01,42449.58,25508.37,1319.8,15621.41,13.2,False,needs improvement
