reorder_point,order_quantity,avg_total_cost_gbp,avg_service_level_pct,avg_fill_rate_pct,avg_stockout_days,avg_holding_cost_gbp,avg_shortage_cost_gbp,avg_ordering_cost_gbp,service_constraint_met
500,500,63133.24,32.12,38.9,61.08,3444.88,58291.65,1396.7,False
500,750,55650.4,43.9,50.1,50.49,6758.27,47645.33,1246.8,False
500,1000,52479.96,52.25,57.3,42.98,10654.09,40732.47,1093.4,False
500,1250,51797.19,58.0,62.3,37.8,14872.57,35959.82,964.8,False
500,1500,52278.8,62.32,66.3,33.9,19263.51,32147.79,867.5,False
500,2000,56686.2,68.21,71.4,28.61,28726.3,27250.8,709.1,False
500,2500,62489.48,72.83,75.6,24.46,38619.18,23261.79,608.5,False
750,500,62499.61,34.59,41.0,58.87,4868.84,56253.07,1377.7,False
750,750,51141.58,50.89,57.2,44.2,8903.57,40862.81,1375.2,False
750,1000,47001.56,60.84,66.1,35.24,13457.91,32317.85,1225.8,False
750,1250,46644.24,66.85,71.2,29.83,18108.24,27459.9,1076.1,False
750,1500,47945.5,70.8,74.6,26.28,22802.85,24192.05,950.6,False
750,2000,53241.85,76.01,79.1,21.59,32484.38,19986.17,771.3,False
750,2500,59774.11,79.98,82.7,18.02,42576.3,16543.51,654.3,False
1000,500,62499.49,37.04,43.2,56.67,6954.06,54183.64,1361.8,False
1000,750,51282.19,53.19,59.2,42.12,10968.74,38952.65,1360.8,False
1000,1000,43309.37,69.11,74.0,27.8,17189.02,24776.65,1343.7,False
1000,1250,42834.9,76.18,80.2,21.44,22790.07,18857.53,1187.3,False
1000,1500,44990.26,79.83,83.2,18.15,27926.38,16025.77,1038.1,False
1000,2000,51511.2,83.97,86.5,14.42,37846.06,12838.94,826.2,False
1000,2500,58904.14,86.46,88.9,12.19,47576.79,10634.65,692.7,False
1250,500,63290.3,39.54,45.3,54.41,9752.58,52196.42,1341.3,False
1250,750,52340.47,55.48,61.0,40.07,13806.35,37192.82,1341.3,False
1250,1000,44588.22,71.53,76.0,25.62,20311.09,22943.12,1334.0,False
1250,1250,42512.07,84.29,87.3,14.14,29106.84,12133.23,1272.0,False
1250,1500,45331.62,88.29,90.7,10.54,35308.87,8904.45,1118.3,False
1250,2000,53213.96,91.03,92.8,8.07,45470.9,6867.35,875.7,False
1250,2500,61973.04,92.42,94.1,6.82,55638.24,5627.81,707.0,False
1500,500,64762.6,42.04,47.5,52.15,13295.21,50143.29,1324.1,False
1500,750,54211.82,57.73,62.9,38.04,17494.34,35393.98,1323.5,False
1500,1000,46900.13,73.83,77.8,23.55,24367.23,21212.9,1320.0,False
1500,1250,45872.11,87.06,89.4,11.65,34528.74,10067.87,1275.5,False
1500,1500,50261.92,93.61,95.0,5.75,44327.42,4775.4,1159.1,False
1500,2000,59147.39,95.74,96.7,3.84,55073.83,3176.76,896.8,True
1500,2500,68980.17,96.6,97.4,3.07,65738.48,2521.69,720.0,True
1750,500,67036.67,44.58,49.5,49.88,17557.05,48177.42,1302.2,False
1750,750,56974.55,60.07,64.7,35.94,21997.39,33674.96,1302.2,False
1750,1000,50428.23,75.93,79.3,21.66,29409.3,19720.03,1298.9,False
1750,1250,50978.46,89.47,91.3,9.47,41373.31,8334.95,1270.2,False
1750,1500,57747.03,96.0,96.8,3.6,53564.62,3019.01,1163.4,True
1750,2000,69118.49,98.29,98.7,1.55,66938.41,1280.47,899.6,True
1750,2500,78637.14,98.68,99.0,1.2,76923.14,993.7,720.3,True
2000,500,69949.35,47.08,51.7,47.63,22544.26,46121.89,1283.2,False
2000,750,60503.31,62.47,66.6,33.78,27389.35,31830.65,1283.3,False
2000,1000,55078.89,78.08,81.0,19.73,35685.12,18114.37,1279.4,False
2000,1250,57198.67,90.99,92.7,8.11,48931.88,7010.99,1255.8,False
2000,1500,66069.42,97.2,97.8,2.53,62839.34,2075.48,1154.6,True
2000,2000,80154.57,99.3,99.5,0.64,78755.87,499.2,899.5,True
2000,2500,90095.29,99.47,99.6,0.49,88996.66,388.33,710.3,True
2250,500,73656.24,49.59,53.7,45.37,28247.85,44145.5,1262.9,False
2250,750,64954.42,64.68,68.4,31.79,33551.04,30140.88,1262.5,False
2250,1000,60558.15,79.93,82.6,18.06,42659.96,16638.99,1259.2,False
2250,1250,64037.37,92.4,93.9,6.84,56940.05,5861.62,1235.7,False
2250,1500,76527.66,98.32,98.7,1.52,74175.02,1205.84,1146.8,True
2250,2000,91809.11,99.73,99.8,0.24,90744.05,167.16,897.9,True
2250,2500,102044.27,99.85,99.9,0.14,101242.09,97.89,704.3,True
2500,500,78014.38,52.12,55.9,43.08,34686.43,42082.85,1245.1,False
2500,750,70176.27,67.05,70.3,29.66,40623.28,28308.19,1244.8,False
2500,1000,66901.22,81.65,84.2,16.52,50579.84,15080.98,1240.4,False
2500,1250,72238.06,93.99,95.4,5.41,66585.53,4430.84,1221.7,False
2500,1500,87244.86,99.0,99.3,0.91,85435.82,678.93,1130.1,True
2500,2000,104504.31,99.95,100.0,0.05,103580.9,30.52,892.9,True
2500,2500,114312.86,99.96,100.0,0.04,113588.48,23.79,700.6,True
2750,500,83127.25,54.65,58.0,40.81,41825.35,40076.6,1225.3,False
2750,750,76161.73,69.17,72.1,27.75,48358.08,26579.24,1224.4,False
2750,1000,73872.91,83.23,85.8,15.09,59069.29,13581.52,1222.1,False
2750,1250,81087.22,95.16,96.4,4.36,76451.37,3434.35,1201.5,True
2750,1500,98960.55,99.49,99.7,0.47,97527.81,320.44,1112.3,True
2750,2000,117576.16,99.99,100.0,0.01,116686.43,9.72,880.0,True
2750,2500,126842.18,99.99,100.0,0.01,126140.05,2.03,700.1,True
3000,500,88996.56,57.11,60.1,38.61,49732.5,38058.57,1205.5,False
3000,750,82919.82,71.2,74.1,25.92,56964.1,24749.83,1205.9,False
3000,1000,81628.6,84.8,87.4,13.68,68399.93,12027.07,1201.6,False
3000,1250,91185.67,96.31,97.4,3.33,87476.63,2526.64,1182.4,True
3000,1500,111762.39,99.75,99.8,0.23,110519.05,145.63,1097.7,True
3000,2000,130652.8,99.99,100.0,0.01,129792.06,1.14,859.6,True
3000,2500,139776.31,100.0,100.0,0.0,139076.51,0.0,699.8,True
3250,500,95560.4,59.54,62.2,36.42,58345.78,36027.02,1187.6,False
3250,750,90314.89,73.0,75.9,24.3,66171.31,22956.28,1187.3,False
3250,1000,89897.79,86.44,89.1,12.21,78274.27,10439.42,1184.1,False
3250,1250,103033.95,97.44,98.2,2.31,100167.18,1700.87,1165.9,True
3250,1500,125329.04,99.88,99.9,0.11,124180.26,62.78,1086.0,True
3250,2000,144141.47,100.0,100.0,0.0,143307.87,0.0,833.6,True
3250,2500,152853.73,100.0,100.0,0.0,152155.73,0.0,698.0,True
3500,500,102791.49,61.71,64.3,34.46,67603.43,34020.17,1167.9,False
3500,750,98208.42,74.61,77.8,22.85,75826.41,21214.42,1167.6,False
3500,1000,98783.03,87.91,90.5,10.88,88585.36,9034.98,1162.7,False
3500,1250,114692.35,98.24,98.8,1.59,112395.45,1151.1,1145.8,True
3500,1500,138796.55,99.96,100.0,0.04,137695.15,26.0,1075.4,True
3500,2000,157615.72,100.0,100.0,0.0,156801.02,0.0,814.7,True
3500,2500,166456.85,100.0,100.0,0.0,165764.25,0.0,692.6,True
