disruption_probability_pct,strategy,avg_total_cost_gbp,avg_procurement_cost_gbp,avg_shortage_cost_gbp,avg_holding_cost_gbp,avg_strategy_cost_gbp,avg_service_level_pct,avg_disruption_days,avg_units_short,verdict
5.0,no_backup,1547221.56,921648.0,12568.78,613004.78,0.0,97.63,1.99,1571.1,good
5.0,safety_stock,2560909.88,939792.0,149.94,1620967.94,0.0,99.97,2.1,18.74,good
5.0,dual_sourcing,1558614.0,924268.8,11157.86,614789.26,8398.08,97.89,1.87,1394.73,good
5.0,air_freight,1559251.27,930652.8,11172.77,617425.7,0.0,97.88,1.93,1396.6,good
10.0,no_backup,1544598.27,919363.2,14414.99,610820.08,0.0,97.32,4.02,1801.87,good
10.0,safety_stock,2556089.6,938582.4,359.1,1617148.1,0.0,99.93,4.26,44.89,good
10.0,dual_sourcing,1554168.76,921621.12,11393.04,612085.2,9069.41,97.82,4.22,1424.13,good
10.0,air_freight,1569237.08,938246.4,11049.93,619940.75,0.0,97.91,4.09,1381.24,good
15.0,no_backup,1540756.74,916070.4,15646.74,609039.6,0.0,97.11,5.51,1955.84,good
15.0,safety_stock,2551104.08,938112.0,545.26,1612446.82,0.0,99.9,5.67,68.16,good
15.0,dual_sourcing,1554148.89,921984.0,11543.98,610983.0,9637.92,97.8,6.3,1443.0,good
15.0,air_freight,1579874.46,946612.8,11052.38,622209.28,0.0,97.9,6.09,1381.55,good
20.0,no_backup,1535181.6,911366.4,17936.26,605878.93,0.0,96.71,8.07,2242.03,good
20.0,safety_stock,2543988.62,937238.4,690.38,1606059.84,0.0,99.88,8.11,86.3,good
20.0,dual_sourcing,1551851.81,920626.56,11538.49,609395.66,10291.1,97.79,8.38,1442.31,good
20.0,air_freight,1591354.94,955852.8,10928.64,624573.5,0.0,97.93,8.86,1366.08,good
30.0,no_backup,1528053.54,905587.2,20986.87,601479.47,0.0,96.16,12.17,2623.36,good
30.0,safety_stock,2531042.2,935088.0,1274.28,1594679.92,0.0,99.77,12.3,159.28,good
30.0,dual_sourcing,1551073.46,920747.52,11771.58,606975.04,11579.33,97.75,12.64,1471.45,good
30.0,air_freight,1614017.56,974198.4,11023.42,628795.74,0.0,97.91,13.13,1377.93,good
40.0,no_backup,1517807.96,897724.8,25908.24,594174.92,0.0,95.3,18.08,3238.53,good
40.0,safety_stock,2514888.57,934080.0,1846.65,1578961.93,0.0,99.66,18.42,230.83,good
40.0,dual_sourcing,1544476.8,916688.64,12274.2,602023.46,13490.5,97.65,19.19,1534.28,good
40.0,air_freight,1635726.79,990763.2,11039.42,633924.16,0.0,97.9,18.66,1379.93,good
50.0,no_backup,1502348.29,884889.6,32018.09,585440.6,0.0,94.23,24.76,4002.26,good
50.0,safety_stock,2499430.31,931459.2,2132.54,1565838.57,0.0,99.61,24.29,266.57,good
50.0,dual_sourcing,1539722.57,914793.6,12822.86,596571.39,15534.72,97.53,26.19,1602.86,good
50.0,air_freight,1663073.36,1011696.0,11008.39,640368.97,0.0,97.91,24.37,1376.05,good
